 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     1     0          10      50.000          20
     0     1     1           3      15.000          20
     0     1     2          10      50.000          20
     0     1     3          11      55.000          20
     0     2     0           9      45.000          20
     0     2     1           4      20.000          20
     0     2     2           9      45.000          20
     0     2     3          11      55.000          20
     0     3     0           8      40.000          20
     0     3     1           4      20.000          20
     0     3     2           7      35.000          20
     0     3     3          10      50.000          20
     0     4     0           0       0.000           0
     0     4     1           0       0.000           0
     0     4     2           0       0.000           0
     0     4     3           0       0.000           0
